                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                  0.541,                0.39316,                0.90702,                0.93826,                0.92617,                0.96229,                0.80714,                0.55762,                0.32037,                0.89026,             0.00038375,             0.00038375,             0.00038375
                     37,                0.53392,                0.38079,                0.90791,                 0.9506,                0.92175,                0.96101,                0.82543,                0.52413,                0.31274,                0.87311,               0.000359,               0.000359,               0.000359
                     38,                0.56219,                 0.3841,                0.90716,                0.90891,                0.94845,                0.96221,                 0.8058,                0.53759,                 0.3208,                0.87915,             0.00033425,             0.00033425,             0.00033425
                     39,                0.53241,                0.36794,                0.90211,                0.93962,                0.94142,                0.96122,                0.81406,                0.52198,                0.30853,                0.87896,              0.0003095,              0.0003095,              0.0003095
                     40,                0.53595,                0.36767,                0.88962,                 0.9286,                0.94412,                0.96743,                0.81259,                0.51672,                0.30527,                0.87799,             0.00028475,             0.00028475,             0.00028475
                     41,                0.49998,                0.32793,                0.86014,                0.94522,                0.91322,                0.95334,                0.81272,                0.50904,                0.31631,                0.87208,                0.00026,                0.00026,                0.00026
                     42,                 0.4944,                0.32595,                0.85211,                0.94317,                0.93261,                0.94862,                0.80212,                0.52023,                0.32174,                0.87332,             0.00023525,             0.00023525,             0.00023525
                     43,                0.49725,                0.31678,                0.85862,                0.94439,                0.92962,                0.95011,                0.81479,                0.51285,                0.31716,                0.87091,              0.0002105,              0.0002105,              0.0002105
                     44,                0.48175,                0.31199,                0.85825,                0.95017,                0.94147,                 0.9614,                 0.8189,                0.51341,                0.30353,                0.87192,             0.00018575,             0.00018575,             0.00018575
                     45,                0.47701,                0.30961,                0.85669,                0.96127,                0.92878,                0.96241,                0.82974,                0.50612,                0.29407,                0.86827,               0.000161,               0.000161,               0.000161
                     46,                0.46759,                0.29473,                0.85464,                0.96392,                 0.9369,                0.96073,                0.82771,                0.50575,                0.28309,                0.86936,             0.00013625,             0.00013625,             0.00013625
                     47,                0.47489,                0.29507,                0.85412,                0.95356,                 0.9544,                 0.9692,                 0.8289,                0.50963,                0.28148,                 0.8683,              0.0001115,              0.0001115,              0.0001115
                     48,                0.47609,                0.28392,                0.84538,                0.94564,                0.95396,                0.96709,                0.82678,                 0.5028,                0.27901,                0.86836,              8.675e-05,              8.675e-05,              8.675e-05
                     49,                0.45856,                0.28022,                0.84913,                0.95961,                0.93214,                0.95925,                 0.8216,                  0.509,                0.27826,                0.87032,                6.2e-05,                6.2e-05,                6.2e-05
                     50,                0.45758,                0.27519,                0.85012,                0.95876,                0.93323,                0.96019,                0.82468,                0.49701,                0.27484,                0.86665,              3.725e-05,              3.725e-05,              3.725e-05
